"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SF_SKU";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";
"1";"";"DISP_LCD_TM022HDH26";"TM022HDH26_2.2IN_LCD";"DISP1";"TM022HDH26 2.2 Inch 240x320 18-bit LCD - ILI9340C Controller";"";"";"";"";"";"";"";"";"";"";
"2";"";"LEDCHIPLED_0805";"CHIPLED_0805";"D1, D2";"LED";"";"";"";"";"";"";"";"";"";"";
"1";"";"SWITCH-SPDT-PTH-11.6X4.0MM";"SWITCH_SPDT_PTH_11.6X4.0MM";"S1";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"SWCH-08261";"";"COM-00102";"";"";"";
"5";"0.1uF";"C-EUC0805K";"C0805K";"C1, C4, C5, C6, C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"2";"0.1uF";"C-EUC1206K";"C1206K";"C8, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"1.2K";"R-EU_M0805";"M0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"4";"10";"R-EU_R0805";"R0805";"R12, R13, R14, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"100R";"R-EU_M0805";"M0805";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"10K";"R-EU_R0805";"R0805";"R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"4R-N0603-ARC";"0603-ARC";"RN1";"Array Chip Resistor";"";"";"unknown";"unknown";"";"";"";"";"";"";
"1";"10uF";"C-EUC0805K";"C0805K";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"1";"10uF";"C-EUC1206K";"C1206K";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"3";"1K";"R-EU_M0805";"M0805";"R5, R8, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"4";"1K";"R-EU_R0805";"R0805";"R3, R11, R15, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"2";"1K2";"R-EU_R0805";"R0805";"R4, R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"C-EUC0805K";"C0805K";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"2";"2.2nF";"C-EUC0805K";"C0805K";"C13, C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
