"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SF_SKU";"SPICEPREFIX";"TP_SIGNAL_NAME";"VALUE";
"5V";"PTR1B2,54";"PTR1B2,54";"B2,54";"TEST PIN";"";"";"";"";"";"";"";"";"";"";
"A2";"PTR1TP15R";"PTR1TP15R";"TP15R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";
"A3";"PTR1TP15R";"PTR1TP15R";"TP15R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";
"BAT+";"WIREPADSMD5-2,5";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";
"BAT-";"WIREPADSMD5-2,5";"WIREPADSMD5-2,5";"5-2,5";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";
"C1";"0.1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C2";"2.2uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C3";"10uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C4";"0.1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C5";"0.1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C6";"0.1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C7";"1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C8";"0.1uF";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C9";"10uF";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"C-EUC1206K";"C1206K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C11";"22uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C12";"22uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";
"C13";"2.2nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C14";"2.2nF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C15";"2.2uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"C16";"0.1uF";"C-EUC0805K";"C0805K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"C";"";"";
"D+";"PTR1TP15R";"PTR1TP15R";"TP15R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";
"D-";"PTR1TP15R";"PTR1TP15R";"TP15R";"TEST PIN";"";"";"";"";"";"";"";"";"";"";
